City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
86,Hasaki,JP,2020-05-10 16:22:07,35.73,140.83,71.6,94,75,12.75,light intensity shower rain,0.0,0.0
87,Avarua,CK,2020-05-10 16:17:09,-21.21,-159.78,78.8,83,37,16.11,scattered clouds,0.0,0.0
88,Nagothana,IN,2020-05-10 16:22:08,18.53,73.13,86.0,74,0,5.82,haze,0.0,0.0
89,Shakhtinsk,KZ,2020-05-10 16:22:08,49.71,72.59,60.8,72,69,8.95,broken clouds,0.0,0.0
90,Beringovskiy,RU,2020-05-10 16:22:08,63.05,179.32,33.08,95,79,18.45,broken clouds,0.0,0.0
91,Aitape,PG,2020-05-10 16:22:08,-3.14,142.35,80.04,86,82,4.52,light rain,0.0,0.0
92,Lompoc,US,2020-05-10 16:17:29,34.64,-120.46,57.0,100,90,4.68,overcast clouds,0.0,0.0
93,Cayenne,GF,2020-05-10 16:17:52,4.93,-52.33,86.0,70,65,8.05,moderate rain,0.0,0.0
94,Ushuaia,AR,2020-05-10 16:20:05,-54.8,-68.3,42.8,87,95,1.74,overcast clouds,0.0,0.0
95,Saint-Louis,SN,2020-05-10 16:20:17,16.33,-15.0,109.4,14,66,2.24,broken clouds,0.0,0.0
96,Kavieng,PG,2020-05-10 16:22:09,-2.57,150.8,83.71,79,96,9.93,overcast clouds,0.0,0.0
97,Mahebourg,MU,2020-05-10 16:22:09,-20.41,57.7,73.4,69,40,12.75,scattered clouds,0.0,0.0
98,Ust-Kuyga,RU,2020-05-10 16:18:43,70.02,135.6,29.03,97,91,8.39,overcast clouds,0.0,0.0
99,Hithadhoo,MV,2020-05-10 16:22:09,-0.6,73.08,85.46,77,67,11.41,light rain,0.0,0.0
100,Tooele,US,2020-05-10 16:22:10,40.53,-112.3,66.0,31,1,4.7,clear sky,0.0,0.0
101,Sobolevo,RU,2020-05-10 16:22:10,54.43,31.9,58.05,68,30,6.33,scattered clouds,0.0,0.0
102,Maragogi,BR,2020-05-10 16:18:55,-9.01,-35.22,82.72,72,37,9.62,scattered clouds,0.0,0.0
103,Kenai,US,2020-05-10 16:22:10,60.55,-151.26,48.2,61,90,8.84,overcast clouds,0.0,0.0
104,Nevelsk,RU,2020-05-10 16:22:10,46.67,141.86,44.6,87,40,8.95,light intensity shower rain,0.0,0.0
105,Kruisfontein,ZA,2020-05-10 16:22:11,-34.0,24.73,66.54,36,0,0.83,clear sky,0.0,0.0
106,Loksa,EE,2020-05-10 16:22:11,59.58,25.72,64.4,27,82,14.99,broken clouds,0.0,0.0
107,Ipixuna,BR,2020-05-10 16:22:12,-1.76,-48.8,84.2,79,75,6.93,broken clouds,0.0,0.0
108,Longyearbyen,SJ,2020-05-10 16:22:12,78.22,15.64,19.4,57,40,9.17,scattered clouds,0.0,0.0
