City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Santiago Del Estero,AR,2020-05-07 01:45:54,-27.8,-64.26,54.57,53,0,5.82
118,Kupang,ID,2020-05-07 01:45:54,-10.17,123.58,86.0,58,40,18.34
119,Zhanaozen,KZ,2020-05-07 01:45:54,43.3,52.8,69.42,40,100,20.04
120,Lima,PE,2020-05-07 01:41:20,-12.04,-77.03,68.0,82,100,8.05
121,Kaitangata,NZ,2020-05-07 01:45:55,-46.28,169.85,58.08,66,71,12.55
122,Atbasar,KZ,2020-05-07 01:45:55,51.8,68.33,53.85,44,97,6.22
123,Constitucion,CL,2020-05-07 01:45:13,-35.33,-72.42,58.06,43,73,5.53
124,Bulgan,MN,2020-05-07 01:45:55,48.81,103.53,41.34,66,89,6.44
125,Saskylakh,RU,2020-05-07 01:45:55,71.92,114.08,4.84,92,70,6.82
126,Poum,NC,2020-05-07 01:45:55,-20.23,164.02,72.73,78,81,14.72
127,Pacific Grove,US,2020-05-07 01:45:56,36.62,-121.92,68.0,48,1,6.93
128,Sherman,US,2020-05-07 01:45:56,33.64,-96.61,69.01,49,1,5.75
129,Xining,CN,2020-05-07 01:45:56,36.62,101.77,45.16,79,100,9.37
130,Kahului,US,2020-05-07 01:41:38,20.89,-156.47,82.4,58,40,18.34
131,Mildura,AU,2020-05-07 01:44:22,-34.2,142.15,70.0,30,91,17.22
132,Ocampo,MX,2020-05-07 01:45:56,21.65,-101.5,61.21,58,1,20.38
133,Chokurdakh,RU,2020-05-07 01:45:56,70.63,147.92,27.88,97,89,7.05
134,Ossora,RU,2020-05-07 01:45:57,59.24,163.07,33.73,96,100,9.89
135,Swan River,CA,2020-05-07 01:45:57,52.11,-101.27,40.89,61,5,10.22
136,Douglas,US,2020-05-07 01:45:57,41.3,-96.17,55.99,58,1,4.7
137,Faanui,PF,2020-05-07 01:45:57,-16.48,-151.75,82.26,77,100,15.9
138,Airai,TL,2020-05-07 01:45:57,-8.93,125.41,70.47,89,34,4.18
139,Matadi,CD,2020-05-07 01:45:57,-5.82,13.45,76.62,90,12,1.79
140,Hohhot,CN,2020-05-07 01:45:58,40.81,111.65,59.0,82,20,4.47
141,Isangel,VU,2020-05-07 01:45:58,-19.55,169.27,71.6,88,90,11.41
142,Chuy,UY,2020-05-07 01:45:58,-33.7,-53.46,51.6,89,33,8.19
143,Suntar,RU,2020-05-07 01:45:58,62.14,117.63,34.79,84,100,9.19
144,Dwarka,IN,2020-05-07 01:45:58,22.24,68.97,82.31,83,0,9.6
145,Ust-Nera,RU,2020-05-07 01:45:58,64.57,143.2,33.24,89,93,2.44
146,Shitanjing,CN,2020-05-07 01:45:59,39.23,106.34,65.62,27,56,5.91
147,Khatanga,RU,2020-05-07 01:45:59,71.97,102.5,13.1,91,100,13.31
148,Mount Gambier,AU,2020-05-07 01:45:59,-37.83,140.77,62.6,42,90,14.99
149,Shushtar,IR,2020-05-07 01:45:59,32.05,48.86,71.31,32,0,2.57
150,Domoni,KM,2020-05-07 01:45:59,-12.26,44.53,79.72,82,65,11.7
151,Finnsnes,NO,2020-05-07 01:45:59,69.23,17.98,35.6,74,100,43.62
152,Tautira,PF,2020-05-07 01:46:00,-17.73,-149.15,82.0,69,100,11.41
153,Ribeira Grande,PT,2020-05-07 01:46:00,38.52,-28.7,62.6,89,44,9.35
154,Hasaki,JP,2020-05-07 01:46:00,35.73,140.83,72.0,48,20,13.87
155,Harper,LR,2020-05-07 01:46:00,4.38,-7.72,80.2,85,65,4.18
156,Albert Lea,US,2020-05-07 01:43:09,43.65,-93.37,59.0,65,1,6.93
157,Alofi,NU,2020-05-07 01:46:00,-19.06,-169.92,84.2,79,90,5.82
158,At-Bashi,KG,2020-05-07 01:46:00,41.17,75.81,44.01,93,100,2.55
159,Guerrero Negro,MX,2020-05-07 01:46:01,27.98,-114.06,71.31,61,0,15.97
160,Souillac,MU,2020-05-07 01:46:01,-20.52,57.52,71.6,100,40,3.36
161,Sao Filipe,CV,2020-05-07 01:46:01,14.9,-24.5,73.94,74,83,10.29
162,Qaanaaq,GL,2020-05-07 01:46:01,77.48,-69.36,12.16,91,100,5.91
163,Bireun,ID,2020-05-07 01:46:01,5.2,96.7,85.23,68,91,3.51
164,High Level,CA,2020-05-07 01:46:02,58.52,-117.14,64.4,31,40,6.93
165,San Antero,CO,2020-05-07 01:46:02,9.37,-75.76,81.07,88,100,5.26
166,The Valley,AI,2020-05-07 01:46:02,18.22,-63.06,82.4,74,20,12.75
167,Ilulissat,GL,2020-05-07 01:46:02,69.22,-51.1,30.2,58,0,4.7
168,Katherine,AU,2020-05-07 01:46:02,-14.47,132.27,86.0,51,40,12.75
169,Mareeba,AU,2020-05-07 01:46:03,-17.0,145.43,79.0,70,9,5.01
170,Fortuna,US,2020-05-07 01:46:03,40.6,-124.16,57.99,67,20,11.41
171,Castro,BR,2020-05-07 01:46:03,-24.79,-50.01,48.61,93,78,7.09
172,Port Alfred,ZA,2020-05-07 01:46:03,-33.59,26.89,62.02,82,0,3.58
173,Esperance,AU,2020-05-07 01:46:03,-33.87,121.9,53.6,71,75,17.22
174,Pisco,PE,2020-05-07 01:46:04,-13.7,-76.22,68.0,77,100,8.05
175,Novopokrovka,UA,2020-05-07 01:46:04,49.84,36.55,51.04,89,99,7.09
176,Castlerea,IE,2020-05-07 01:46:04,53.77,-8.5,51.01,85,100,4.0
177,Ahipara,NZ,2020-05-07 01:46:04,-35.17,173.17,63.86,66,32,8.86
178,Severo-Kurilsk,RU,2020-05-07 01:46:04,50.68,156.12,37.74,78,17,17.34
179,Banda Aceh,ID,2020-05-07 01:46:04,5.56,95.32,85.21,67,90,3.78
180,Porto Santo,PT,2020-05-07 01:46:05,33.07,-16.34,62.6,88,20,3.36
181,Aklavik,CA,2020-05-07 01:46:05,68.22,-135.01,24.8,79,90,8.05
182,Sabang,ID,2020-05-07 01:46:05,5.89,95.32,83.73,74,99,6.51
183,Kundiawa,PG,2020-05-07 01:46:05,-6.02,144.97,70.54,73,96,2.33
184,Riyadh,SA,2020-05-07 01:43:18,24.69,46.72,78.8,22,99,9.17
185,Tucupita,VE,2020-05-07 01:46:05,9.06,-62.05,76.28,79,99,3.85
186,Hambantota,LK,2020-05-07 01:46:06,6.12,81.12,75.2,100,20,7.92
187,Nisia Floresta,BR,2020-05-07 01:46:06,-6.09,-35.21,75.2,94,20,4.7
188,Lagoa,PT,2020-05-07 01:46:06,39.05,-27.98,62.13,91,52,12.71
189,Hithadhoo,MV,2020-05-07 01:46:06,-0.6,73.08,83.88,79,58,12.15
190,Conde,BR,2020-05-07 01:46:06,-7.26,-34.91,75.2,100,20,9.86
191,Maple Creek,CA,2020-05-07 01:46:06,49.92,-109.48,56.79,47,100,13.0
192,Sangar,RU,2020-05-07 01:46:06,63.92,127.47,36.19,92,100,12.93
193,Gari,RU,2020-05-07 01:46:07,59.43,62.35,58.26,65,3,5.35
194,Mayo,US,2020-05-07 01:46:07,38.89,-76.51,51.01,88,90,5.59
195,Namibe,AO,2020-05-07 01:46:07,-15.2,12.15,78.55,75,76,3.13
196,Asau,RO,2020-05-07 01:46:07,46.43,26.4,45.0,70,94,11.05
197,Marystown,CA,2020-05-07 01:46:07,47.17,-55.15,33.53,92,52,20.92
198,Zyryanka,RU,2020-05-07 01:46:08,65.75,150.85,30.56,98,65,4.25
199,Traverse City,US,2020-05-07 01:44:48,44.76,-85.62,48.2,39,20,5.82
200,Verkhnyaya Inta,RU,2020-05-07 01:46:08,65.98,60.31,41.74,93,100,7.78
201,Muroto,JP,2020-05-07 01:46:08,33.28,134.15,73.4,27,20,21.92
202,Krasne,UA,2020-05-07 01:46:08,49.91,24.61,44.6,87,90,20.13
203,Kuytun,RU,2020-05-07 01:46:08,54.34,101.5,49.37,48,93,10.45
204,Wyndham,US,2020-05-07 01:46:08,37.7,-77.61,55.0,46,90,5.82
205,Houma,US,2020-05-07 01:46:09,29.6,-90.72,73.0,56,1,10.33
206,Samarai,PG,2020-05-07 01:46:09,-10.62,150.67,81.46,73,28,17.34
207,Lorengau,PG,2020-05-07 01:46:09,-2.02,147.27,85.03,72,36,6.64
208,Neryungri,RU,2020-05-07 01:46:09,56.67,124.65,40.21,87,100,12.86
209,Buin,CL,2020-05-07 01:46:09,-33.73,-70.75,62.6,39,19,1.12
210,Svetlyy,RU,2020-05-07 01:46:09,54.67,20.13,37.4,100,0,8.95
211,Guanica,PR,2020-05-07 01:46:09,17.97,-66.91,82.0,72,100,1.99
212,Taloqan,AF,2020-05-07 01:46:10,36.74,69.53,68.2,40,0,5.17
213,Bertoua,CM,2020-05-07 01:46:10,4.58,13.68,69.98,96,100,2.39
214,Kapaa,US,2020-05-07 01:46:10,22.08,-159.32,78.8,74,1,14.99
215,Broome,US,2020-05-07 01:46:10,42.25,-75.83,44.01,80,90,3.36
216,Bellavista,PE,2020-05-07 01:46:10,-7.06,-76.59,74.64,86,100,0.67
217,Georgetown,MY,2020-05-07 01:45:20,5.41,100.34,84.2,83,20,3.36
218,Beisfjord,NO,2020-05-07 01:46:11,68.38,17.6,35.6,80,100,19.46
219,Perth,AU,2020-05-07 01:44:29,-31.93,115.83,59.0,82,75,6.93
220,Mana,GF,2020-05-07 01:46:11,5.66,-53.78,78.37,90,98,9.82
221,Coria,ES,2020-05-07 01:46:11,39.99,-6.54,60.01,72,100,2.82
222,Altamira,BR,2020-05-07 01:46:11,-3.2,-52.21,74.26,95,50,0.51
223,Novopavlovka,RU,2020-05-07 01:46:11,51.22,109.21,40.93,66,90,11.03
224,Awbari,LY,2020-05-07 01:46:12,26.59,12.78,70.93,22,0,5.3
225,Puerto Colombia,CO,2020-05-07 01:43:14,10.99,-74.95,82.4,83,99,6.93
226,Zalegoshch,RU,2020-05-07 01:46:12,52.9,36.89,47.84,91,21,6.15
227,Safford,US,2020-05-07 01:46:12,32.83,-109.71,100.4,8,1,10.29
228,Sibolga,ID,2020-05-07 01:46:12,1.74,98.78,85.86,66,99,1.19
229,Port Hawkesbury,CA,2020-05-07 01:46:12,45.62,-61.35,33.01,96,1,3.36
